Name,Adress,Foundation_date,Total_enrollment
University of Passau,"Innstraße 41, 94032 Passau",1978,11957
The Ludwig Maximilian University of Munich,"Geschwister-Scholl-Platz 1, 80539 München",1472,51420
University of Amsterdam,"1012 WP Amsterdam, Netherlands",1632,42324
